Plant,loc,px_obs,end_points,branch_points,areole_num,skel_length_mm,areole_area_mmsq,vein_dens_mm2
1024,B,10162144,178,414,125,132.7863767,0.733176948,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.463759845,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.400461374,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.369448953,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.298187935,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.25509584,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.246267225,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.240557589,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.226125001,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.225974053,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.218768137,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.210533882,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.210109339,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.203639298,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.201748665,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.200948637,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.198448548,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.197314546,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.19614658,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.192299273,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.189876546,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.186627374,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.186536805,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.180162994,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.177398745,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.176521355,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.176398709,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.174436376,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.171887229,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.171513631,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.170443781,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.167881426,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.167022905,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.166041738,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.16589079,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.165036042,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.158516943,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.147659954,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.147435418,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.146678787,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.142510715,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.140314411,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.137444498,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.136765228,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.136227473,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.134485902,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.13439722,6.519062337
1024,B,10162144,178,414,125,132.7863767,0.129961213,6.519062337
