"plant","vox_size","px_obs","skel_length_mm","vein_density_mm2","end_points","branch_points","areole_num","areole_mmsq"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"1.03932461823"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.847843815592"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.672527536017"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.562143356818"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.50916584015"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.506965946226"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.467508774066"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.465614203498"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.41627708069"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.406054619867"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.393225167312"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.36809079207"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.315023244156"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.31477663683"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.307368631045"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.292893172449"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.290975115469"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.280177237552"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.279545061629"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.278771967234"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.278638877566"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.255917731157"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.247184700295"
"196","0.001399","12071795","121.207694247","5.1300654853","140","254",64,"0.244761685457"
